date,house_completed,manufacuting_sales,air_passengers,total_reserve,low_income_per,fdi,male_employement_per,unemployment_male_per
1987-01-01,12525,,1863,6071,16,105937,,
1987-02-01,10299,,1869,6545,,,,
1987-03-01,11316,,2174,7772,,,,
1987-04-01,11173,,1935,6171,,,,
1987-05-01,14725,,2008,5719,,,,
1987-06-01,17483,,2332,6336,,,,
1987-07-01,23830,,2140,6414,,,,
1987-08-01,17655,,2310,7236,,,,
1987-09-01,19006,,2020,7537,,,,
1987-10-01,18203,,1942,7936,,,,
1987-11-01,16989,,1618,7907,,,,
1987-12-01,15635,,1588,8203,,,,
1988-01-01,14415,,1977,9533,15,114175,,
1988-02-01,11839,,2010,10467,,,,
1988-03-01,12186,,2325,12583,,,,
1988-04-01,13685,,1899,13647,,,,
1988-05-01,16149,,1952,13402,,,,
1988-06-01,18114,,2063,16244,,,,
1988-07-01,18904,,2216,15393,,,,
1988-08-01,17896,,2375,13886,,,,
1988-09-01,15716,,2027,14730,,,,
1988-10-01,18764,,1741,16218,,,,
1988-11-01,16129,,1714,16086,,,,
1988-12-01,13508,,1798,16198,,,,
1989-01-01,15796,,1840,16604,14,122664,,
1989-02-01,11595,,1807,16172,,,,
1989-03-01,12829,,2099,16194,,,,
1989-04-01,13160,,1823,16138,,,,
1989-05-01,16250,,1877,15508,,,,
1989-06-01,17161,,1932,15876,,,,
1989-07-01,18067,,2006,16172,,,,
1989-08-01,16925,,2190,16677,,,,
1989-09-01,18071,,1891,16442,,,,
1989-10-01,15183,,1764,16408,,,,
1989-11-01,16062,,1621,16275,,,,
1989-12-01,14514,,1632,16796,,,,
1990-01-01,14108,,1719,15651,16.2,130932,,
1990-02-01,11367,,1663,13672,,,,
1990-03-01,14003,,1941,14513,,,,
1990-04-01,13303,,1739,14969,,,,
1990-05-01,13742,,1779,13975,,,,
1990-06-01,17695,,1860,14607,,,,
1990-07-01,19530,,1925,16020,,,,
1990-08-01,14145,,2103,18473,,,,
1990-09-01,15416,,1798,18293,,,,
1990-10-01,16211,,1703,18130,,,,
1990-11-01,12812,,1499,18455,,,,
1990-12-01,12747,,1507,18580,,,,
1991-01-01,13860,,1635,18875,17.5,135234,33.63600159,10.81900024
1991-02-01,8405,,1539,17512,,,,
1991-03-01,8184,,1787,17633,,,,
1991-04-01,8973,,1623,16516,,,,
1991-05-01,10609,,1744,17883,,,,
1991-06-01,12442,,1760,17133,,,,
1991-07-01,14411,,1843,17397,,,,
1991-08-01,11292,,2061,18659,,,,
1991-09-01,11950,,1850,18741,,,,
1991-10-01,13282,,1856,17557,,,,
1991-11-01,10697,,1601,17984,,,,
1991-12-01,11054,,1701,16901,,,,
1992-01-01,12658,,1655,16739,18.3,137918,32.6609993,12.00899982
1992-02-01,8879,,1616,16627,,,,
1992-03-01,8580,,1766,15273,,,,
1992-04-01,9944,,1753,15481,,,,
1992-05-01,11207,,1851,15397,,,,
1992-06-01,13738,,1914,15233,,,,
1992-07-01,17256,,1935,15652,,,,
1992-08-01,14070,,2081,15685,,,,
1992-09-01,12307,,1800,12777,,,,
1992-10-01,14130,,1702,13145,,,,
1992-11-01,10752,,1476,10295,,,,
1992-12-01,12753,,1712,11909,,,,
1993-01-01,9790,,1731,11687,18.9,141493,32.0320015,11.9460001
1993-02-01,7005,,1616,11509,,,,
1993-03-01,8519,,1832,13150,,,,
